LINKID,MASTER_RTE_NM,FromNode_Norm,ToNode_Norm,SegMid_M,Signal_M,Delta_M,Flow_Role,AADT_GIS
010025,,,,76.77458637471847,8.22592343851441,68.54866293620405,Unknown,3987.0
010025,,,,77.29202971423129,8.22592343851441,69.06610627571688,Unknown,3987.0
010130,,,,70.0029548860286,159.16339015580883,-89.16043526978022,Unknown,8944.0
010130,,,,71.13889534898179,159.16339015580883,-88.02449480682704,Unknown,8944.0
010130,,,,138.1429412010672,159.16339015580883,-21.020448954741624,Unknown,8944.0
010130,,,,140.66410943310143,159.16339015580883,-18.499280722707397,Unknown,8944.0
010130,,,,365.3859432373835,159.16339015580883,206.2225530815747,Unknown,8944.0
010130,,,,365.6281992616571,159.16339015580883,206.46480910584825,Unknown,8944.0
010163,,,,139.03462660973221,1.2160621542331558,137.81856445549906,Unknown,13299.0
010163,,,,201.25797930025138,78.68905098809769,122.56892831215369,Unknown,13299.0
010163,,,,557.1014584324136,1.2160621542331558,555.8853962781805,Unknown,13299.0
010163,,,,605.1116014527017,78.68905098809769,526.422550464604,Unknown,13299.0
010163,,,,1759.893922834836,1741.8696844918368,18.024238342999297,Unknown,13299.0
010163,,,,1771.5321684820383,1741.8696844918368,29.66248399020151,Unknown,13299.0
010169,,,,326.64663172816455,290.00499125663123,36.64164047153332,Unknown,9652.0
010169,,,,365.50284032938384,290.00499125663123,75.49784907275262,Unknown,9652.0
010169,,,,412.0001063346838,290.00499125663123,121.99511507805255,Unknown,9652.0
010169,,,,635.3901710869957,290.00499125663123,345.38517983036445,Unknown,9652.0
010169,,,,681.4834482376518,290.00499125663123,391.4784569810206,Unknown,9652.0
010169,,,,881.0148893677758,290.00499125663123,591.0098981111446,Unknown,9652.0
010170,,,,1448.5615561644106,1526.7302480160583,-78.16869185164774,Unknown,12187.0
010170,,,,1526.784311038782,1526.7302480160583,0.05406302272376706,AtSignal,12187.0
010215,,,,21.78274438347782,115.54252113756999,-93.75977675409217,Unknown,6394.0
010215,,,,21.85561074316601,115.54252113756999,-93.68691039440398,Unknown,6394.0
010215,,,,108.27065120863871,115.54252113756999,-7.271869928931281,AtSignal,6394.0
010215,,,,112.24949892813282,115.54252113756999,-3.2930222094371686,AtSignal,6394.0
010215,,,,306.77866101306745,115.54252113756999,191.23613987549746,Unknown,6394.0
010215,,,,307.3086708988003,115.54252113756999,191.7661497612303,Unknown,6394.0
010215,,,,830.0019755405633,115.54252113756999,714.4594544029933,Unknown,6394.0
010215,,,,836.5322940960907,115.54252113756999,720.9897729585207,Unknown,6394.0
010217,,,,170.83307802706005,171.05462801329995,-0.22154998623989286,AtSignal,8498.0
010217,,,,400.5096715704273,171.05462801329995,229.45504355712737,Unknown,8498.0
010217,,,,727.0202464665089,982.3471346558491,-255.32688818934025,Unknown,8498.0
010217,,,,905.0406617926025,982.3471346558491,-77.30647286324665,Unknown,8498.0
010266,,,,2957.4297957433914,3227.9136752288605,-270.48387948546906,Unknown,6357.0
010266,,,,2991.00083402466,3227.9136752288605,-236.9128412042005,Unknown,6357.0
010266,,,,3227.8730060841763,3227.9136752288605,-0.04066914468421601,AtSignal,6357.0
010266,,,,3260.2269192240597,3227.9136752288605,32.31324399519917,Unknown,6357.0
010273,,,,40.72739113229843,1526.7302480160583,-1486.00285688376,Unknown,12898.0
010273,,,,41.52345301121306,1526.7302480160583,-1485.2067950048454,Unknown,12898.0
010291,,,,14.393906282008428,15.301833430739723,-0.9079271487312948,AtSignal,7568.0
010291,,,,16.396867835484798,15.301833430739723,1.0950344047450749,AtSignal,7568.0
010291,,,,56.64730141515013,15.301833430739723,41.345467984410405,Unknown,7568.0
010291,,,,245.53658896923406,15.301833430739723,230.23475553849434,Unknown,7568.0
010291,,,,245.88045533415877,15.301833430739723,230.57862190341905,Unknown,7568.0
010291,,,,627.6362334647719,15.301833430739723,612.3344000340321,Unknown,7568.0
010291,,,,634.7908695920482,15.301833430739723,619.4890361613085,Unknown,7568.0
010291,,,,793.6652237283495,15.301833430739723,778.3633902976097,Unknown,7568.0
010291,,,,794.3369973342723,15.301833430739723,779.0351639035325,Unknown,7568.0
010291,,,,1183.1777232017907,15.301833430739723,1167.875889771051,Unknown,7568.0
010291,,,,1187.8859928941463,15.301833430739723,1172.5841594634066,Unknown,7568.0
010293,,,,80.17865300824491,683.5829994449283,-603.4043464366835,Unknown,12914.0
010293,,,,84.0193180031486,683.5829994449283,-599.5636814417797,Unknown,12914.0
010293,,,,175.4518002032004,683.5829994449283,-508.1311992417279,Unknown,12914.0
010293,,,,179.15611716073414,683.5829994449283,-504.42688228419416,Unknown,12914.0
010293,,,,298.5677297953824,683.5829994449283,-385.0152696495459,Unknown,12914.0
010293,,,,328.09218483828846,683.5829994449283,-355.49081460663984,Unknown,12914.0
010293,,,,425.76096819442927,683.5829994449283,-257.82203125049904,Unknown,12914.0
010293,,,,426.37234526371907,683.5829994449283,-257.21065418120924,Unknown,12914.0
010351,,,,7.874197071358056,55.36014724151835,-47.485950170160294,Unknown,9878.0
010351,,,,15.88521725890267,55.36014724151835,-39.47492998261568,Unknown,9878.0
010351,,,,30.283515876908897,131.01511557764118,-100.73159970073229,Unknown,9878.0
010351,,,,142.4788627087494,55.36014724151835,87.11871546723106,Unknown,9878.0
010351,,,,147.3513446232859,55.36014724151835,91.99119738176756,Unknown,9878.0
010351,,,,242.37495999866212,55.36014724151835,187.01481275714377,Unknown,9878.0
010351,,,,257.8269275727282,55.36014724151835,202.46678033120986,Unknown,9878.0
010351,,,,1347.5436992126643,1347.782598547287,-0.23889933462282897,AtSignal,9878.0
010351,,,,1347.5641156889117,1347.782598547287,-0.2184828583754097,AtSignal,9878.0
010351,,,,1365.6304831024577,1347.782598547287,17.847884555170594,Unknown,9878.0
010351,,,,1365.644788074334,1347.782598547287,17.862189527046894,Unknown,9878.0
010352,,,,14.404193843658245,55.36014724151835,-40.9559533978601,Unknown,10519.0
010352,,,,14.805197929564798,55.36014724151835,-40.55494931195355,Unknown,10519.0
010352,,,,29.78428310114904,55.36014724151835,-25.57586414036931,Unknown,10519.0
010352,,,,59.9629430007125,55.36014724151835,4.6027957591941515,AtSignal,10519.0
010352,,,,64.57046844391834,55.36014724151835,9.210321202399996,AtSignal,10519.0
010352,,,,66.69719685223095,55.36014724151835,11.337049610712597,AtSignal,10519.0
010353,,,,8134.225021966327,55.36014724151835,8078.864874724809,Unknown,9385.0
010353,,,,8252.386048302275,131.01511557764118,8121.370932724633,Unknown,9385.0
010353,,,,8426.761006323752,55.36014724151835,8371.400859082234,Unknown,9385.0
