comparison_scope,unit_count,assigned_crash_count,v1_estimated_exposure,v2_direction_factor_adjusted_exposure,exposure_ratio_v2_to_v1,v1_rate_per_million,v2_rate_per_million,rate_ratio_v2_to_v1
all_denominator_ready_units,2967,12414,12162169675.106346,7108955359.704511,0.5845137462812408,1.0207060361449407,1.746248129558658,1.7108237511301343
analysis_window:high_priority_0_1000ft,1746,8512,7750111561.923209,4505937700.816756,0.5814029468884957,1.0983067704237959,1.889062957629684,1.7199775222188285
analysis_window:sensitivity_1000_2500ft,1221,3902,4412058113.183136,2603017658.8877544,0.589978099134731,0.8843945160968997,1.4990294002336075,1.694978172014541
