dataset,geometry_column,row_count,geometry_null_count,geometry_empty_count,geometry_valid_count,geometry_invalid_count,crs,geometry_type,geometry_type_count
posted_speed_source,geometry,38723,102,0,38621,0,EPSG:3857,MultiLineString,38621
posted_speed_source,geometry,38723,102,0,38621,0,EPSG:3857,<null>,102
