metric,value,count
bounded_question,Stage A source inventory and schema audit for access and speed context,
access_parquet_exists,True,
access_row_count,,70595
speed_parquet_exists,False,
study_signals_speed_context_exists,False,
candidate_speed_files_found_elsewhere,,4
stable_universe_inputs_checked,,5
access_or_speed_joins_implemented,False,
scaffold_catchment_assignment_readiness_logic_changed,False,
crash_direction_fields_read_or_used,False,
