source_name,path,exists,readable_format,layer,read_status,row_count,field_count,candidate_speed_field_count,candidate_route_identity_field_count,source_classification
VDOT_Routes,Intersection Crash Analysis Layers\VDOT_Routes.geojson,True,GeoJSON,,read,69778,49,0,43,route_identity_bridge_candidate
Speed_Limit_RNS,Intersection Crash Analysis Layers\Speed_Limit_RNS\Speed_Limit_RNS.gdb,True,FileGDB/layer,Speed_Limit_RNS,read,665316,16,4,10,speed_source_supplement_candidate
