source_name,path,exists,readable_format,read_status,row_count,geometry_type,crs,bounds,stable_universe_bounds,bounds_in_stable_crs,bounds_overlap_stable_universe
VDOT_Routes,Intersection Crash Analysis Layers\VDOT_Routes.geojson,True,GeoJSON,read,69778,LineString|MultiLineString,EPSG:4326,"-83.662133,36.536984,-75.371125,39.440894","-372347.701609,59608.269561,366107.795291,382553.388714","-372347.774415,59607.721993,362756.913999,382553.388252",True
Speed_Limit_RNS,Intersection Crash Analysis Layers\Speed_Limit_RNS\Speed_Limit_RNS.gdb,True,FileGDB/layer,read,665316,MultiLineString,EPSG:3857,"-9313225.965200,4374763.976500,-8387055.398500,4785024.064200","-372347.701609,59608.269561,366107.795291,382553.388714","-372347.701609,59608.269561,365537.131628,382553.388714",True
