scope,pair_symmetry_connection_key,reference_signal_id,directional_records,far_anchor_ids,far_anchor_types,roadway_representation_types,downstream_records,upstream_records,paired_id_missing_rows,paired_id_not_found_rows,has_required_pair,qa_status
all_candidates,paired_directional_ids:rds_oseg_rge_rc_0011794_sgn_signal_002585_rc_0011794_sgn_signal_002295_rc_0011794_signal_002295_01_b_to_a||rds_oseg_rge_rc_0012106_sgn_signal_002585_rc_0012106_sgn_signal_002295_rc_0012106_signal_002295_01_a_to_b,signal_002295,2,sgn_signal_002585_rc_0011794|sgn_signal_002585_rc_0012106,non_true_signal,divided_physical_carriageway,1,1,0,0,TRUE,pass
all_candidates,paired_directional_ids:rds_oseg_rge_rc_0012096_rn_179765_76_256298_06_sgn_signal_003128_rc_0012096_signal_003128_01_a_to_b||rds_oseg_rge_rc_0012206_rn_179828_39_256258_63_sgn_signal_003128_rc_0012206_signal_003128_01_b_to_a,signal_003128,2,rn_179765_76_256298_06|rn_179828_39_256258_63,non_signal_intersection,divided_physical_carriageway,1,1,0,0,TRUE,pass
all_candidates,paired_directional_ids:rds_oseg_rge_rc_0012096_sgn_signal_003128_rc_0012096_rn_180656_54_255661_69_signal_003128_01_b_to_a||rds_oseg_rge_rc_0012206_sgn_signal_003128_rc_0012206_rn_180647_11_255640_19_signal_003128_01_a_to_b,signal_003128,2,rn_180647_11_255640_19|rn_180656_54_255661_69,non_signal_intersection,divided_physical_carriageway,1,1,0,0,TRUE,pass
all_candidates,paired_directional_ids:rds_oseg_rge_rc_0024451_rn_291457_17_104148_54_sgn_signal_003356_rc_0024451_signal_003356_01_a_to_b||rds_oseg_rge_rc_0025094_rn_291457_80_104135_03_sgn_signal_003356_rc_0025094_signal_003356_01_b_to_a,signal_003356,2,rn_291457_17_104148_54|rn_291457_80_104135_03,non_signal_intersection,divided_physical_carriageway,1,1,0,0,TRUE,pass
all_candidates,paired_directional_ids:rds_oseg_rge_rc_0024451_sgn_signal_003408_rc_0024451_sgn_signal_003276_rc_0024451_signal_003408_01_b_to_a||rds_oseg_rge_rc_0025094_sgn_signal_003408_rc_0025094_sgn_signal_003276_rc_0025094_signal_003408_01_a_to_b,signal_003408,2,sgn_signal_003276_rc_0024451|sgn_signal_003276_rc_0025094,non_true_signal,divided_physical_carriageway,1,1,0,0,TRUE,pass
all_candidates,paired_directional_ids:rds_oseg_rge_rc_0024871_rn_294315_96_107140_60_sgn_signal_003359_rc_0024871_signal_003359_01_b_to_a||rds_oseg_rge_rc_0024889_rn_294317_02_107154_33_sgn_signal_003359_rc_0024889_signal_003359_01_a_to_b,signal_003359,2,rn_294315_96_107140_60|rn_294317_02_107154_33,non_signal_intersection,divided_physical_carriageway,1,1,0,0,TRUE,pass
all_candidates,paired_directional_ids:rds_oseg_rge_rc_0024871_sgn_signal_003359_rc_0024871_sgn_signal_003257_rc_0024871_signal_003359_01_a_to_b||rds_oseg_rge_rc_0024889_sgn_signal_003359_rc_0024889_sgn_signal_003257_rc_0024889_signal_003359_01_b_to_a,signal_003359,2,sgn_signal_003257_rc_0024871|sgn_signal_003257_rc_0024889,non_true_signal,divided_physical_carriageway,1,1,0,0,TRUE,pass
all_candidates,paired_directional_ids:rds_oseg_rge_rc_0025540_rn_287820_16_102054_16_sgn_signal_003728_rc_0025540_signal_003728_01_a_to_b||rds_oseg_rge_rc_0025669_rn_287822_05_102047_91_sgn_signal_003728_rc_0025669_signal_003728_01_b_to_a,signal_003728,2,rn_287820_16_102054_16|rn_287822_05_102047_91,non_signal_intersection,divided_physical_carriageway,1,1,0,0,TRUE,pass
all_candidates,paired_directional_ids:rds_oseg_rge_rc_0032626_sgn_signal_002980_rc_0032626_sgn_signal_002309_rc_0032626_signal_002980_01_b_to_a||rds_oseg_rge_rc_0032686_sgn_signal_002980_rc_0032686_sgn_signal_002309_rc_0032686_signal_002980_01_a_to_b,signal_002980,2,sgn_signal_002309_rc_0032626|sgn_signal_002309_rc_0032686,non_true_signal,divided_physical_carriageway,1,1,0,0,TRUE,pass
all_candidates,paired_directional_ids:rds_oseg_rge_rc_0037896_rn_205480_54_318830_16_sgn_signal_000860_rc_0037896_signal_000860_01_b_to_a||rds_oseg_rge_rc_0038473_rn_205464_76_318834_95_sgn_signal_000860_rc_0038473_signal_000860_01_a_to_b,signal_000860,2,rn_205464_76_318834_95|rn_205480_54_318830_16,non_signal_intersection,divided_physical_carriageway,1,1,0,0,TRUE,pass
all_candidates,paired_directional_ids:rds_oseg_rge_rc_0037896_sgn_signal_000860_rc_0037896_rn_205543_11_318869_15_signal_000860_01_a_to_b||rds_oseg_rge_rc_0038473_sgn_signal_000860_rc_0038473_sgn_signal_000468_rc_0038473_signal_000860_01_b_to_a,signal_000860,2,rn_205543_11_318869_15|sgn_signal_000468_rc_0038473,non_signal_intersection|non_true_signal,divided_physical_carriageway,1,1,0,0,TRUE,pass
all_candidates,paired_directional_ids:rds_oseg_rge_rc_0051648_sgn_signal_002993_rc_0051648_rn_205227_29_315002_35_signal_002993_01_a_to_b||rds_oseg_rge_rc_0052379_sgn_signal_002993_rc_0052379_rn_205178_70_315042_42_signal_002993_01_b_to_a,signal_002993,2,rn_205178_70_315042_42|rn_205227_29_315002_35,non_signal_intersection,divided_physical_carriageway,1,1,0,0,TRUE,pass
all_candidates,paired_directional_ids:rds_oseg_rge_rc_0061132_rn_288922_97_106862_98_sgn_signal_003404_rc_0061132_signal_003404_01_b_to_a||rds_oseg_rge_rc_0061449_rn_288917_81_106848_74_sgn_signal_003404_rc_0061449_signal_003404_01_a_to_b,signal_003404,2,rn_288917_81_106848_74|rn_288922_97_106862_98,non_signal_intersection,divided_physical_carriageway,1,1,0,0,TRUE,pass
all_candidates,paired_directional_ids:rds_oseg_rge_rc_0061132_sgn_signal_003259_rc_0061132_sgn_signal_003405_rc_0061132_signal_003405_01_b_to_a||rds_oseg_rge_rc_0061449_sgn_signal_003259_rc_0061449_sgn_signal_003405_rc_0061449_signal_003405_01_a_to_b,signal_003405,2,sgn_signal_003259_rc_0061132|sgn_signal_003259_rc_0061449,non_true_signal,divided_physical_carriageway,1,1,0,0,TRUE,pass
all_candidates,paired_directional_ids:rds_oseg_rge_rc_0061132_sgn_signal_003405_rc_0061132_sgn_signal_003423_rc_0061132_signal_003405_01_a_to_b||rds_oseg_rge_rc_0061449_sgn_signal_003405_rc_0061449_rn_287879_33_106680_58_signal_003405_01_b_to_a,signal_003405,2,rn_287879_33_106680_58|sgn_signal_003423_rc_0061132,non_signal_intersection|non_true_signal,divided_physical_carriageway,1,1,0,0,TRUE,pass
all_candidates,paired_directional_ids:rds_oseg_rge_rc_0065869_rn_293364_44_106931_13_sgn_signal_003741_rc_0065869_signal_003741_01_a_to_b||rds_oseg_rge_rc_0067009_rn_293368_03_106917_90_sgn_signal_003741_rc_0067009_signal_003741_01_b_to_a,signal_003741,2,rn_293364_44_106931_13|rn_293368_03_106917_90,non_signal_intersection,divided_physical_carriageway,1,1,0,0,TRUE,pass
all_candidates,paired_directional_ids:rds_oseg_rge_rc_0065869_sgn_signal_003254_rc_0065869_rn_294080_05_107121_55_signal_003254_01_b_to_a||rds_oseg_rge_rc_0067009_sgn_signal_003254_rc_0067009_rn_294080_50_107108_76_signal_003254_01_a_to_b,signal_003254,2,rn_294080_05_107121_55|rn_294080_50_107108_76,non_signal_intersection,divided_physical_carriageway,1,1,0,0,TRUE,pass
all_candidates,paired_directional_ids:rds_oseg_rge_rc_0065869_sgn_signal_003741_rc_0065869_sgn_signal_003254_rc_0065869_signal_003254_01_a_to_b||rds_oseg_rge_rc_0067009_sgn_signal_003741_rc_0067009_sgn_signal_003254_rc_0067009_signal_003254_01_b_to_a,signal_003254,2,sgn_signal_003741_rc_0065869|sgn_signal_003741_rc_0067009,true_signal,divided_physical_carriageway,1,1,0,0,TRUE,pass
