record_type,id_column,row_count,nonblank_id_count,unique_id_count,duplicate_id_count,blank_id_count,qa_status
segment,reference_directional_segment_id,7800,7800,7800,0,0,pass
bin,reference_directional_bin_id,304552,304552,304552,0,0,pass
