sensitivity,comparison,delta_aic,fit_improves_aic,n_rows
simplified_speed_added,S3_access_interaction_speed_simplified_vs_S2_access_interaction,-16.438615127505727,True,2967
stable_speed_only,S4_speed_sensitivity_no_missing,,,2786
