model_name,term,covariance_method,standard_error,p_value
S2_access_interaction,"C(analysis_window_readable, Treatment(reference='0-1,000 ft'))[T.1,000-2,500 ft]:C(local_access_density_label, Treatment(reference='0'))[T.1-3]",poisson_cluster_reference_signal,0.1422618817281368,0.6713820020154407
S2_access_interaction,"C(analysis_window_readable, Treatment(reference='0-1,000 ft'))[T.1,000-2,500 ft]:C(local_access_density_label, Treatment(reference='0'))[T.3-6]",poisson_cluster_reference_signal,0.19225962832281038,0.006767005936158424
S2_access_interaction,"C(analysis_window_readable, Treatment(reference='0-1,000 ft'))[T.1,000-2,500 ft]:C(local_access_density_label, Treatment(reference='0'))[T.6+]",poisson_cluster_reference_signal,0.36183649485081626,0.011915277741436633
S3_access_interaction_speed_simplified,Intercept,poisson_scaled_pearson,0.05254677764319568,0.0
S3_access_interaction_speed_simplified,"C(analysis_window_readable, Treatment(reference='0-1,000 ft'))[T.1,000-2,500 ft]",poisson_scaled_pearson,0.06634312483158222,2.4318399474498853e-05
S3_access_interaction_speed_simplified,"C(local_access_density_label, Treatment(reference='0'))[T.>0-1]",poisson_scaled_pearson,0.1098027211626444,0.38007138307587895
S3_access_interaction_speed_simplified,"C(local_access_density_label, Treatment(reference='0'))[T.1-3]",poisson_scaled_pearson,0.0699319294780147,0.0001303682698460072
S3_access_interaction_speed_simplified,"C(local_access_density_label, Treatment(reference='0'))[T.3-6]",poisson_scaled_pearson,0.09923449316567051,0.3545602413291684
S3_access_interaction_speed_simplified,"C(local_access_density_label, Treatment(reference='0'))[T.6+]",poisson_scaled_pearson,0.23122560263223094,0.28232507052893097
S3_access_interaction_speed_simplified,"C(signal_relative_direction_model, Treatment(reference='downstream'))[T.upstream]",poisson_scaled_pearson,0.04726205327283644,0.8363834276375832
S3_access_interaction_speed_simplified,"C(speed_band_simplified, Treatment(reference='30-39 mph'))[T.<30 mph]",poisson_scaled_pearson,0.09138273204444874,0.0002210964091298205
S3_access_interaction_speed_simplified,"C(speed_band_simplified, Treatment(reference='30-39 mph'))[T.40-49 mph]",poisson_scaled_pearson,0.055199844682881916,0.32046708376254884
S3_access_interaction_speed_simplified,"C(speed_band_simplified, Treatment(reference='30-39 mph'))[T.50+ mph]",poisson_scaled_pearson,0.10256649700865174,0.04977239197822976
S3_access_interaction_speed_simplified,"C(speed_band_simplified, Treatment(reference='30-39 mph'))[T.missing/review speed]",poisson_scaled_pearson,0.11224826744530385,0.13314151410285932
