metric,baseline_v1_v4,active_v2_v5,ratio_active_to_baseline
rate_ready_units,2967.0,2967.0,1.0
estimated_exposure,12162169675.106346,7108955359.704501,0.58451374628124
aggregate_rate_per_million,1.0207060361449407,1.7462481295586605,1.7108237511301367
